index,input_dataset,dataschema_variable,label:en,description:en,valueType,unit,other_format,Categories::label:en,input_variables,Variable label,Variable description,Coding,Unit (abbreviated),`Mlstr_harmo::comment`,`Mlstr_harmo::status`,Mlstr_harmo::status_detail,Mlstr_harmo::rule_category,Mlstr_harmo::algorithm,comment_question_for_cohort,response_from_cohort
1,AGN,adm_id,Identification,Participant id,text,,,,ID,Participant identification code,Participant identification code,NA,,,complete,identical,id_creation,ID,,
2,AGN,adm_date,Completion date,Date on which the questionnaire was completed,date,,yyyy-mm-dd,,date_interview1,Date of interview - wave 1,Date on which participant participated in wave 1 interview in dd.mm.yyyy format. Recorded by a member of the research team.,. = missing,,,complete,identical,operation,"format(as.Date(date_interview1, format = ""%d-%m-%Y""), ""%Y-%m-%d"")",,
3,AGN,sdc_sex,Sex,Sex of the participant,integer,,,"1 = Female ; 
2 = Male",Sex,Participant sex,Participant's biological sex. Drawn from the population register,"1 = male
2 = female",,,complete,identical,recode,recode(1=2; 2=1; ELSE=NA),,
4,AGN,sdc_age,Age,Age of the participant at the time of questionnaire completion,integer,years,,,Age1,Participant age - wave 1,Participant age. Drawn from the Digital and Population Data Services Agency in Finland,,years,,complete,identical,direct_mapping,direct_mapping,,
5,AGN,sdc_education,Level of education,Participant's level of education at the time of questionnaire completion,integer,,,"0 = None or lower than high school ; 
1 = High school qualifications ; 
2 = Further education qualifications ; 
3 = University degree and higher",education_level,Participant education level - wave 1,"Participant education level. Self-reported. Interview item: What is your highest educational qualification? Response options: less than primary school, primary school, middle school or folk high school, vocational school, secondary school, high school, university degree","1 = less than primary school
2 = primary school
3 = middle school or folk high school
4 = vocational school
5 = secondary school
6 = high school
7 = university degree
. = missing",,,complete,compatible,recode,recode(1=0; 2=0; 3=0; 4=2; 5=0; 6=1; 7=3),"Please confirm/adjust/comment the recoding, we are not 100% sure to understand how the education system translate to the categories desired for harmonization. Can you provide us with more information regarding what is folk high school, secondary school (it what sense is secondary school is different than high chool), and vocational school?",
6,AGN,sdc_ethnicity,Ethnicity,Participant's ethnicity,integer,,,"1 = Caucasian or White (Eg: German, Irish, English, Italian, Polish, French, etc) ; 
2 = Black or African American (Eg: African American, Jamaican, Haitian, Nigerian, Ethiopian, Somalian, etc) ; 
3 = Asian (Eg: Chinese, Filipino, Asian Indian, Vietnamese, Korean, Japanese, etc) ; 
4 = Mixed ethnicity and Other",__BLANK__,,,,,All participants of this cohort were caucasian,complete,identical,paste,1,,
7,AGN,sdc_employment_status,Current employment status,Indicator of whether the participant is employed or unemployed,integer,,,"0 = Unemployed ; 
1 = Employed",__BLANK__,,,,,,impossible,unavailable,impossible,impossible,,
8,AGN,sdc_employment_pattern,Current employment pattern,Indicator of whether the participant is full-time or part-time,integer,,,"1 = Part-time ; 
2 = Full-time",__BLANK__,,,,,All participants of this cohort were retired,impossible,unavailable,impossible,impossible,,
9,AGN,sdc_work_hours,Number of hours per week,Number of hours worked per week,decimal,,,,__BLANK__,,,,,All participants of this cohort were retired,impossible,unavailable,impossible,impossible,,
10,AGN,sdc_employment_description,Employment description,Participant's employment description,text,,,,__BLANK__,,,,,All participants of this cohort were retired,impossible,unavailable,impossible,impossible,,
11,AGN,sdc_retirement_status,Current retirement status,Indicator of whether the participant is retired or not,integer,,,"0 = Not retired ; 
1 = Retired",__BLANK__,,,,,,complete,identical,paste,1,Please confirm that all participants are retired,
12,AGN,sdc_married,Ever married,Indicator of whether the participant has ever been married or not,integer,,,"0 = Never married ; 
1 = Married ; 
2 = Formerly married",marital_status1,Participant marital status - wave 1,Participant marital status. Self-reported. Interview item: What is your current marital status?,"1 = unmarried
2 = married
3 = common-law marriage
4 = widowed
5 = divorced
.=missing",,,complete,compatible,recode,recode(1=0; 2=1; 3=NA; 4=2; 5=2; ELSE = NA),,
13,AGN,sdc_relationship,Currently in a relationship,Indicator of whether the participant is in a relationship or not,integer,,,"0 = Not in a relationship ; 
1 = In a relationship",marital_status1,Participant marital status - wave 1,Participant marital status. Self-reported. Interview item: What is your current marital status?,"1 = unmarried
2 = married
3 = common-law marriage
4 = widowed
5 = divorced
.=missing",,,complete,compatible,recode,recode(1=0; 2=1; 3=1; 4=NA; 5=NA; ELSE=NA),,
14,AGN,sdc_location,Urban or rural location,Urban or rural location,integer,,,"1 = Rural ; 
2 = Urban",__BLANK__,,,,,,impossible,unavailable,impossible,impossible,Is it possible to consider all paticipants as as living in an urban location since all participants seem to come from Jyväskylä?,
15,AGN,pm_height,Participant's height,Participant's height,decimal,cm,,,height1,"participant heigth in cm, wave 1","Body height is measured while the participant is standing in an upright position on a stadiometer without shoes. Two consecutive measures are taken and the final result, recorded to the nearest 0.5 cm, is the mean of the two values. If the difference between two measurements was >1 cm, a third measurement was done.",. = missing,cm,,complete,identical,direct_mapping,direct_mapping,,
16,AGN,pm_height_method,Method used to measure the height,Method used to measure the height,integer,,,"1 = Self-reported ; 
2 = Measured by professional",__BLANK__,"participant heigth in cm, wave 1","Body height is measured while the participant is standing in an upright position on a stadiometer without shoes. Two consecutive measures are taken and the final result, recorded to the nearest 0.5 cm, is the mean of the two values. If the difference between two measurements was >1 cm, a third measurement was done.",. = missing,cm,,complete,compatible,operation,"ifelse(!is.na(height1), 2, NA)",,
17,AGN,pm_weight,Participant's weight,Participant's weight,decimal,kg,,,weight1,"participant weight in kg, wave 1","Body weight was measured in light clothing while the participant stands on an electric scale (Seca, Hamburg, Germany). Weight is recorded to the nearest 0.1 kg.",. = missing,kg,,complete,identical,direct_mapping,direct_mapping,,
18,AGN,pm_weight_method,Method used to measure the weight,Method used to measure the weight,integer,,,"1 = Self-reported ; 
2 = Measured by professional",__BLANK__,"participant weight in kg, wave 1","Body weight was measured in light clothing while the participant stands on an electric scale (Seca, Hamburg, Germany). Weight is recorded to the nearest 0.1 kg.",. = missing,kg,,complete,compatible,operation,"ifelse(!is.na(weight1), 2, NA)",,
19,AGN,pm_bmi,Body mass index,Body mass index,decimal,kg/m2,,,"weight1; 
height1","participant weight in kg, wave 1; participant heigth in cm, wave 1","Body weight was measured in light clothing while the participant stands on an electric scale (Seca, Hamburg, Germany). Weight is recorded to the nearest 0.1 kg.; Body height is measured while the participant is standing in an upright position on a stadiometer without shoes. Two consecutive measures are taken and the final result, recorded to the nearest 0.5 cm, is the mean of the two values. If the difference between two measurements was >1 cm, a third measurement was done.",. = missing; . = missing,kg; cm,,complete,compatible,operation,weight1 / (height1/100)^2,,
20,AGN,pm_waist_circ,Waist circumference,Waist circumference,decimal,cm,,,"waist_circumference1_1; 
waist_circumference1_2; 
waist_circumference1_3","waist circumference in cm, wave 1 - first measurement;
waist circumference in cm, wave 1 - second measurement;
waist circumference in cm, wave 1 - third measurement",Waist circumference was measured according to the instructions of the World Health Organization. Researcher measured. The measurement site was the midpoint between the lowest palpable rib and the top of the iliac crest. Three consecutive measures were taken from the bare skin at the end of an exhalation.; Waist circumference was measured according to the instructions of the World Health Organization. Researcher measured. The measurement site was the midpoint between the lowest palpable rib and the top of the iliac crest. Three consecutive measures were taken from the bare skin at the end of an exhalation.; Waist circumference was measured according to the instructions of the World Health Organization. Researcher measured. The measurement site was the midpoint between the lowest palpable rib and the top of the iliac crest. Three consecutive measures were taken from the bare skin at the end of an exhalation.,. = missing; . = missing; . = missing,cm; cm; cm,Average of 3 measures,complete,compatible,operation,"rowMeans(select(., waist_circumference1_1, waist_circumference1_2, waist_circumference1_3), na.rm = TRUE)",,
21,AGN,pm_waist_circ_method,Method used to measure the waist circumference,Method used to measure the waist circumference,integer,,,"1 = Self-reported ; 
2 = Measured by professional",__BLANK__,"waist circumference in cm, wave 1 - first measurement;
waist circumference in cm, wave 1 - second measurement;
waist circumference in cm, wave 1 - third measurement",Waist circumference was measured according to the instructions of the World Health Organization. Researcher measured. The measurement site was the midpoint between the lowest palpable rib and the top of the iliac crest. Three consecutive measures were taken from the bare skin at the end of an exhalation.; Waist circumference was measured according to the instructions of the World Health Organization. Researcher measured. The measurement site was the midpoint between the lowest palpable rib and the top of the iliac crest. Three consecutive measures were taken from the bare skin at the end of an exhalation.; Waist circumference was measured according to the instructions of the World Health Organization. Researcher measured. The measurement site was the midpoint between the lowest palpable rib and the top of the iliac crest. Three consecutive measures were taken from the bare skin at the end of an exhalation.,. = missing; . = missing; . = missing,cm; cm; cm,,complete,compatible,operation,"ifelse(!is.na(waist_circumference1_1) | !is.na(waist_circumference1_2) | !is.na(waist_circumference1_3), 2, NA)",,
22,AGN,pm_bodyfat_perc,Body fat percentage,Body fat percentage,decimal,%,,,fat_percentage1,"participant body fat percentage, wave 1","Multi-frequency bioelectrical impedance measurement (InBody 720, Biospace, Seoul, Korea) was performed according to the instructions of the manufacturer with participants wearing light clothing and standing barefoot on the device and holding the handles in both hands. Participants with a pacemaker were excluded from the bioimpedance measurement.",. = missing,percent,,complete,identical,direct_mapping,direct_mapping,,
23,AGN,pm_bodyfat_perc_method,Method used to measure the body fat percentage,Method used to measure the body fat percentage,text,,,,fat_percentage1,"participant body fat percentage, wave 1","Multi-frequency bioelectrical impedance measurement (InBody 720, Biospace, Seoul, Korea) was performed according to the instructions of the manufacturer with participants wearing light clothing and standing barefoot on the device and holding the handles in both hands. Participants with a pacemaker were excluded from the bioimpedance measurement.",. = missing,percent,,complete,compatible,operation,"ifelse(!is.na(fat_percentage1), ""Bioelectrical impedance measurement (InBody 720)"", NA)",,
24,AGN,pm_systo_bp,Systolic blood pressure,"Systolic blood pressure, average of all measures available",integer,mmHg,,,BP_syst_1,"Systolic blood pressure, wave 1","Blood pressure was measures in a seated position after a 10-minute period of sitting using the Diagnostic Station DS20 (Schiller AG, Baar, Switzerland). Measured by a research staff member. Blood pressure was measured 3 times and the lowest value was documented. Participants were asked to refrain from extreme physical exertion, staying up late, and drinking alcohol on the day before the assessments, and not to consume caffeine containing drinks and not to smoke during the 2 h preceding the assessments.",. = missing,mmHg,Blood pressure was measured 3 times and the lowest value was documented,complete,identical,direct_mapping,direct_mapping,,
25,AGN,pm_diasto_bp,Diastolic blood pressure,"Diastolic blood pressure, average of all measures available",integer,mmHg,,,BP_diast_1,"Diastolic blood pressure, wave 1","Blood pressure was measures in a seated position after a 10-minute period of sitting using the Diagnostic Station DS20 (Schiller AG, Baar, Switzerland). Measured by a research staff member. Blood pressure was measured 3 times and the lowest value was documented. Participants were asked to refrain from extreme physical exertion, staying up late, and drinking alcohol on the day before the assessments, and not to consume caffeine containing drinks and not to smoke during the 2 h preceding the assessments.",. = missing,mmHg,Blood pressure was measured 3 times and the lowest value was documented,complete,identical,direct_mapping,direct_mapping,,
26,AGN,pm_resting_heart_rate,Resting heart rate,Resting heart rate,decimal,beats/minute,,,resting_hr,"Resting heart rate, wave 1","Following a 5-minute supine rest, an ECG recorder (eMotion Faros 180, Bittium Corporation, Oulu, Finland) placed on participants' chest was used to record heart rate for 4 minutes, data were analyzed with the Kubios software and the mean heart rate was calculated. Recorded by a research nurse.",. = missing,bpm,"Mean heart rate calculated on a 4 minutes ECG, preceded by a 5 minutes supine rest",complete,identical,direct_mapping,direct_mapping,,
27,AGN,pm_cardiorespiratoy_fitness,Cardiorespiratoy fitness,Cardiorespiratoy fitness,decimal,ml/min/kg,,,__BLANK__,,,,,,impossible,unavailable,impossible,impossible,,
28,AGN,lab_blood_fasting,Blood sampling fasting,Blood sampling fasting,integer,,,"0 = Non-fasted ; 
1 = Short-fast (<=4h) ; 
2 = Long fast (>4h)",__BLANK__,,,,,,complete,identical,paste,1,,
29,AGN,lab_red_blood_cell_count,Red blood cell count,Red blood cell count,decimal,10^12/L,,,__BLANK__,,,,,,impossible,unavailable,impossible,impossible,,
